word_id,word_text,list_id,category_id,,,,,,,,,,,,,
90,煤,4,1,,,,,,,,,,,,,
91,炭,4,1,,,,,,,,,,,,,
92,蒸,4,1,,,,,,,,,,,,,
93,降,4,1,,,,,,,,,,,,,
94,凝,4,1,,,,,,,,,,,,,
95,菌,4,1,,,,,,,,,,,,,
96,預,4,1,,,,,,,,,,,,,
97,疾,4,1,,,,,,,,,,,,,
98,傳説,4,2,,,,,,,,,,,,,
99,寸草不生,4,2,,,,,,,,,,,,,
100,實際,4,2,,,,,,,,,,,,,
101,體積,4,2,,,,,,,,,,,,,
102,鋼鐵,4,2,,,,,,,,,,,,,
103,關係,4,2,,,,,,,,,,,,,
104,密切,4,2,,,,,,,,,,,,,
105,生存,4,2,,,,,,,,,,,,,
106,繁殖,4,2,,,,,,,,,,,,,
107,糧食,4,2,,,,,,,,,,,,,
108,下降,4,2,,,,,,,,,,,,,
109,流動,4,2,,,,,,,,,,,,,
110,殺菌,4,2,,,,,,,,,,,,,
111,預防,4,2,,,,,,,,,,,,,
112,治療,4,2,,,,,,,,,,,,,
113,疾病,4,2,,,,,,,,,,,,,
114,召,5,1,,,,,,,,,,,,,
115,缺,5,1,,,,,,,,,,,,,
116,允,5,1,,,,,,,,,,,,,
117,典,5,1,,,,,,,,,,,,,
118,欺,5,1,,,,,,,,,,,,,
119,慮,5,1,,,,,,,,,,,,,
120,辭,5,1,,,,,,,,,,,,,
121,拒,5,1,,,,,,,,,,,,,
122,斥,5,1,,,,,,,,,,,,,
123,職,5,1,,,,,,,,,,,,,
124,削,5,1,,,,,,,,,,,,,
125,協,5,1,,,,,,,,,,,,,
126,進,5,1,,,,,,,,,,,,,
127,攻,5,1,,,,,,,,,,,,,
128,無價之寳,5,2,,,,,,,,,,,,,
129,召集,5,2,,,,,,,,,,,,,
130,商議,5,2,,,,,,,,,,,,,
131,機智,5,2,,,,,,,,,,,,,
132,理虧,5,2,,,,,,,,,,,,,
133,完好無缺,5,2,,,,,,,,,,,,,
134,絕口不提,5,2,,,,,,,,,,,,,
135,怒髮衝冠,5,2,,,,,,,,,,,,,
136,承諾,5,2,,,,,,,,,,,,,
137,得罪,5,2,,,,,,,,,,,,,
138,推辭,5,2,,,,,,,,,,,,,
139,擅長,5,2,,,,,,,,,,,,,
140,同歸菸盡,5,2,,,,,,,,,,,,,
141,怒目圄睜,5,2,,,,,,,,,,,,,
142,毫不示弱,5,2,,,,,,,,,,,,,
143,削弱,5,2,,,,,,,,,,,,,
144,利益,5,2,,,,,,,,,,,,,
145,同心協力,5,2,,,,,,,,,,,,,
146,保衛,5,2,,,,,,,,,,,,,
147,懼,6,1,,,,,,,,,,,,,
148,迫,6,1,,,,,,,,,,,,,
149,辱,6,1,,,,,,,,,,,,,
150,屑,6,1,,,,,,,,,,,,,
151,謙,6,1,,,,,,,,,,,,,
152,討,6,1,,,,,,,,,,,,,
153,侵,6,1,,,,,,,,,,,,,
154,崇,6,1,,,,,,,,,,,,,
155,批,6,1,,,,,,,,,,,,,
156,愧,6,1,,,,,,,,,,,,,
157,振,6,1,,,,,,,,,,,,,
158,榮,6,1,,,,,,,,,,,,,
159,威迫,6,2,,,,,,,,,,,,,
160,羞辱,6,2,,,,,,,,,,,,,
161,屢立戰功,6,2,,,,,,,,,,,,,
162,傲慢,6,2,,,,,,,,,,,,,
163,忍無可忍,6,2,,,,,,,,,,,,,
164,得罪,6,2,,,,,,,,,,,,,
165,不屑,6,2,,,,,,,,,,,,,
166,阻止,6,2,,,,,,,,,,,,,
167,謙讓,6,2,,,,,,,,,,,,,
168,揚長而去,6,2,,,,,,,,,,,,,
169,侵犯,6,2,,,,,,,,,,,,,
170,戰績顯赫,6,2,,,,,,,,,,,,,
171,忠心耿耿,6,2,,,,,,,,,,,,,
172,崇拜,6,2,,,,,,,,,,,,,
173,計較,6,2,,,,,,,,,,,,,
174,囉嗦,6,2,,,,,,,,,,,,,
175,慚愧,6,2,,,,,,,,,,,,,
176,吩咐,6,2,,,,,,,,,,,,,
177,繁榮昌盛,6,2,,,,,,,,,,,,,
178,將,7,1,,,,,,,,,,,,,
179,嬴,7,1,,,,,,,,,,,,,
180,勝,7,1,,,,,,,,,,,,,
181,肯,7,1,,,,,,,,,,,,,
182,難,7,1,,,,,,,,,,,,,
183,胸,7,1,,,,,,,,,,,,,
184,惑,7,1,,,,,,,,,,,,,
185,則,7,1,,,,,,,,,,,,,
186,输,7,1,,,,,,,,,,,,,
187,整,7,1,,,,,,,,,,,,,
188,序,7,1,,,,,,,,,,,,,
189,敗,7,1,,,,,,,,,,,,,
190,才能,7,2,,,,,,,,,,,,,
191,將軍,7,2,,,,,,,,,,,,,
192,勝利,7,2,,,,,,,,,,,,,
193,當然,7,2,,,,,,,,,,,,,
194,為難,7,2,,,,,,,,,,,,,
195,胸有成竹,7,2,,,,,,,,,,,,,
196,疑惑,7,2,,,,,,,,,,,,,
197,規則,7,2,,,,,,,,,,,,,
198,淡定,7,2,,,,,,,,,,,,,
199,遙遙領先,7,2,,,,,,,,,,,,,
200,信服,7,2,,,,,,,,,,,,,
201,調整,7,2,,,,,,,,,,,,,
202,順序,7,2,,,,,,,,,,,,,
203,反敗為勝,7,2,,,,,,,,,,,,,
204,訪,8,1,,,,,,,,,,,,,
205,仗,8,1,,,,,,,,,,,,,
206,侮,8,1,,,,,,,,,,,,,
207,夥,8,1,,,,,,,,,,,,,
208,謊,8,1,,,,,,,,,,,,,
209,拱,8,1,,,,,,,,,,,,,
210,矩,8,1,,,,,,,,,,,,,
211,席,8,1,,,,,,,,,,,,,
212,業,8,1,,,,,,,,,,,,,
213,勞,8,1,,,,,,,,,,,,,
214,賊,8,1,,,,,,,,,,,,,
215,尊,8,1,,,,,,,,,,,,,
216,訪問,8,2,,,,,,,,,,,,,
217,國勢強盛,8,2,,,,,,,,,,,,,
218,侮辱,8,2,,,,,,,,,,,,,
219,威風,8,2,,,,,,,,,,,,,
220,到底,8,2,,,,,,,,,,,,,
221,迎接,8,2,,,,,,,,,,,,,
222,打發,8,2,,,,,,,,,,,,,
223,規矩,8,2,,,,,,,,,,,,,
224,招待,8,2,,,,,,,,,,,,,
225,盜竊,8,2,,,,,,,,,,,,,
226,沒出息,8,2,,,,,,,,,,,,,
227,得意揚揚,8,2,,,,,,,,,,,,,
228,面不改色,8,2,,,,,,,,,,,,,
229,安居樂業,8,2,,,,,,,,,,,,,
230,勞動,8,2,,,,,,,,,,,,,
231,取笑,8,2,,,,,,,,,,,,,
232,尊重,8,2,,,,,,,,,,,,,
